Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR28266100,AMPLICON,602,37015174,PRJNA1085262,SAMN40298765,Metagenome or environmental,18636755,CENTRAL SOUTH UNIVERSITY,2022-05-10,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX23876162,China,Asia,China:Shaoyang city,Illumina MiSeq,Abandoned site of iron and manganese mining,27.1889 N 110.4031 E,DK2,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,DK2_20,SRP494034
SRR28266101,AMPLICON,602,39395482,PRJNA1085262,SAMN40298791,Metagenome or environmental,22651135,CENTRAL SOUTH UNIVERSITY,2022-09-24,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX23876161,China,Asia,China:Chenzhou city,Illumina MiSeq,Lead-zinc tailings soil,25.7242 N 113.1653 E,SZY_S3,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:41:00Z,1,SZY_S3_20,SRP494034
SRR28266102,AMPLICON,602,40227446,PRJNA1085262,SAMN40298790,Metagenome or environmental,23207626,CENTRAL SOUTH UNIVERSITY,2022-09-24,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX23876160,China,Asia,China:Chenzhou city,Illumina MiSeq,Lead-zinc tailings soil,25.7249 N 113.1673 E,SZY_S2,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:41:00Z,1,SZY_S2_20,SRP494034
SRR28266103,AMPLICON,602,38639972,PRJNA1085262,SAMN40298789,Metagenome or environmental,21835465,CENTRAL SOUTH UNIVERSITY,2022-09-25,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX23876159,China,Asia,China:Chenzhou city,Illumina MiSeq,Lead-zinc tailings pond downstream riverbed soil,25.7389 N 113.1753 E,SST_S5,SINGLE,PCR,METAGENOMIC,mine drainage metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,SST_S5_20,SRP494034
SRR28266104,AMPLICON,602,29385426,PRJNA1085262,SAMN40298788,Metagenome or environmental,16855223,CENTRAL SOUTH UNIVERSITY,2022-09-25,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23876158,China,Asia,China:Chenzhou city,Illumina MiSeq,Lead-zinc tailings pond downstream riverbed soil,25.7386 N 113.1656 E,SST_S4,SINGLE,PCR,METAGENOMIC,mine drainage metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:41:00Z,1,SST_S4_20,SRP494034
SRR28266105,AMPLICON,602,20481244,PRJNA1085262,SAMN40298787,Metagenome or environmental,11635290,CENTRAL SOUTH UNIVERSITY,2022-09-25,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX23876157,China,Asia,China:Chenzhou city,Illumina MiSeq,Lead-zinc tailings pond downstream riverbed soil,25.7398 N 113.1637 E,SST_S3,SINGLE,PCR,METAGENOMIC,mine drainage metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,SST_S3_20,SRP494034
SRR28266106,AMPLICON,602,42067760,PRJNA1085262,SAMN40298786,Metagenome or environmental,23945590,CENTRAL SOUTH UNIVERSITY,2022-09-25,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX23876156,China,Asia,China:Chenzhou city,Illumina MiSeq,Lead-zinc tailings pond downstream riverbed soil,25.7392 N 113.1657 E,SST_S2,SINGLE,PCR,METAGENOMIC,mine drainage metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,SST_S2_20,SRP494034
SRR28266107,AMPLICON,602,34684230,PRJNA1085262,SAMN40298785,Metagenome or environmental,21319810,CENTRAL SOUTH UNIVERSITY,2022-05-11,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23876155,China,Asia,China:Shaoyang city,Illumina MiSeq,Lead-zinc-antimony tailings soil,27.3792 N 111.3478 E,SL8,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:41:00Z,1,SL8_20,SRP494034
SRR28266108,AMPLICON,602,42503006,PRJNA1085262,SAMN40298784,Metagenome or environmental,24064621,CENTRAL SOUTH UNIVERSITY,2022-09-25,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX23876154,China,Asia,China:Chenzhou city,Illumina MiSeq,Lead-zinc tailings soil,25.7297 N 113.1142 E,NGW_S3,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,NGW_S3_20,SRP494034
SRR28266109,AMPLICON,602,33096756,PRJNA1085262,SAMN40298783,Metagenome or environmental,18750220,CENTRAL SOUTH UNIVERSITY,2022-09-25,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX23876153,China,Asia,China:Chenzhou city,Illumina MiSeq,Lead-zinc tailings soil,25.7294 N 113.1156 E,NGW_S1,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:41:00Z,1,NGW_S1_20,SRP494034
